tiantianqianzhuang,1389706021,7F9E20C7-D8C1-4412-9CBB-0B486B879F79,战争,101.205.131.85,12.3.1,"iPhone10,2",2dc07d80e44ae6853e6633222a91bea4bf2cbf92
tiantianqianzhuang,1389706021,056ADE84-E8E1-4526-B9EC-23F3D8459337,战争,112.28.176.114,12.2,"iPhone9,1",d2942bd8d2b0ca2c0c5f5437b565fcbd1712fae9
tiantianqianzhuang,1389706021,A1A13F24-6DEE-4F40-979E-996A6BBB3858,战争,42.101.110.67,12.2,"iPhone9,2",21dd58546562b3314bd4acdd839aff6b847d8401
tiantianqianzhuang,1389706021,D3287288-E508-4A11-B641-9991E83454FA,战争,110.53.253.180,11.3.1,"iPhone10,2",67dd918c9f6448ca715629066b4acddb93f598f4
tiantianqianzhuang,1389706021,EF1F8AD0-C081-4CD0-A815-6D1D0494DA71,战争,60.255.139.104,12.1.4,"iPhone10,1",eef8533f6c8cfcc7c4a06ea41761763f3cb53757
tiantianqianzhuang,1389706021,2DCA838D-AD87-41E9-A516-91C42A0B1AD7,战争,222.80.200.105,12.2,"iPhone11,6",00008020-000C39A03E30003A
tiantianqianzhuang,1389706021,160BA7E5-D041-41EE-9D16-42940E528C7E,战争,39.166.225.137,12.1.4,"iPhone10,6",d6196f8f1a26ff97070b2dc6d4a15d5257740f53
tiantianqianzhuang,1389706021,30F4D516-39E3-4B25-9EBA-5F1BA7797246,战争,117.136.85.161,12.2,"iPhone10,3",deebc9374fd79d3db42621782e87b4fc4eda998f
tiantianqianzhuang,1389706021,68069DCD-149A-44B0-A2C8-3BC62B7433F4,战争,183.192.232.30,12.2,"iPhone11,6",00008020-001234102284002E
tiantianqianzhuang,1389706021,AED7268B-D103-467B-BDF9-846AB681654E,战争,113.231.93.147,12.3.1,"iPhone9,1",6cdde2de407e98a376fe20ce78af6ca799d445de
tiantianqianzhuang,1389706021,27D9E06A-2CAD-4738-9DA0-A713E51DC181,战争,112.38.182.195,12.1.2,"iPhone9,2",a26b54a4d9ffe58f580fda77596598cff07f6d65
tiantianqianzhuang,1389706021,D8A02F14-DE56-4300-A47F-3003207EDF35,战争,113.74.229.116,12.2,"iPhone10,1",7acb2f715d10be02e51d1712728018ba7251fa27
tiantianqianzhuang,1389706021,2A41E035-2232-4198-97E3-5A9B2B049098,战争,106.117.73.202,12.2,"iPhone9,2",466fadccfb9e479e2fe5bee815305f2c4095c279
